hour,start_cell,end_cell,mean,std,scv,scv_real,n,lambda,mu1,mu2,phi1
7,0,1,0.2927222222222222,0.1994434192174206,0.2082271915165068,0.4642244764413229,5,17.08104004554944,10.248624027329663,10.248624027329663,0.0
7,0,3,0.2053921568627451,0.0879726574178536,0.5380382241329967,0.1834542219893181,2,9.73747016706444,29.21241050119332,29.21241050119332,0.0
7,0,4,0.1817238562091503,0.0842714866596705,1.0911939240088535,0.2150489978063396,2,11.005709661466527,27.51427415366632,27.51427415366632,0.0
7,0,6,0.298989898989899,0.157496534976938,0.4403814099388325,0.2774782673826698,3,10.033783783783784,13.37837837837838,13.37837837837838,0.0
7,0,7,0.1811904761904762,0.0840241403394576,0.616434641723834,0.2150489978063395,2,11.038107752956636,27.59526938239159,27.59526938239159,0.0
7,0,8,0.44,0.2040428532816264,0.1761063379159326,0.2150489978063396,6,13.636363636363637,11.363636363636363,11.363636363636363,0.0
7,0,9,0.2836805555555555,0.0649566074692133,0.1772686157280765,0.0524309264522211,6,21.150550795593634,70.50183598531211,70.50183598531211,0.0
7,1,0,0.446,0.2793818684078509,0.192501081738236,0.3923979388036244,6,13.452914798206278,6.726457399103139,6.726457399103139,0.0
7,1,1,0.2090650406504065,0.368526233404308,4.548686863957063,3.107234157022776,2,9.56640093330741,9.56640093330741,1.5393756070307785,0.839085188069933
7,1,2,0.3284722222222222,0.0980128566144686,0.1891055314766566,0.0890366470149153,6,18.26638477801269,36.53276955602537,36.53276955602537,0.0
7,1,3,0.1684311424100156,0.0498450663620174,0.2369948661934037,0.0875789165999547,5,29.685721586025885,71.24573180646212,71.24573180646212,0.0
7,1,4,2.169814814814815,2.9705693266587123,0.2669244030398396,1.8742781593383528,4,1.8434752923103184,0.9217376461551592,0.2458913693153597,0.7332306320122157
7,1,6,0.1119340924775707,0.0838275270440155,2.6126317926737954,0.5608523499028982,2,17.867657259121103,13.246467888277069,27.44066149786518,0.0
7,1,7,0.2421296296296296,0.1122836829401206,0.2783654922279114,0.2150489978063396,4,16.520076481835563,20.650095602294453,20.650095602294453,0.0
7,1,8,0.3169444444444444,0.1469778381277372,0.2460707520197274,0.2150489978063396,5,15.77563540753725,15.77563540753725,15.77563540753725,0.0
7,1,9,0.2381481481481481,0.0576590214728072,0.1857645281388041,0.0586192311506377,6,25.194401244167963,75.58320373250389,75.58320373250389,0.0
7,2,0,0.4105555555555555,0.1903884704231337,0.1881974109414607,0.2150489978063396,6,14.614343707713124,12.178619756427604,12.178619756427604,0.0
7,2,1,0.2083465608465608,0.0542294135280216,0.1633699439829339,0.0677481036713983,7,33.59786680210781,71.99542886165959,71.99542886165959,0.0
7,2,2,0.0546825396825396,0.0378211313640959,1.7705874990237904,0.4783785283004824,2,36.574746008708274,54.86211901306241,54.86211901306241,0.0
7,2,3,0.2977777777777777,0.1380896077764542,0.2016963978029636,0.2150489978063396,5,16.791044776119403,16.791044776119403,16.791044776119403,0.0
7,2,6,0.2690972222222222,0.0776846704090916,0.2573073226165532,0.0833397561750369,4,14.86451612903226,44.59354838709677,44.59354838709677,0.0
7,2,7,0.3122222222222222,0.1447879842730733,0.2126879815737618,0.2150489978063395,5,16.01423487544484,16.01423487544484,16.01423487544484,0.0
