,name,start_station_id,longitude,latitude,cell,capacity
231,SPIKERSUPPA ØST,625,10.7376630000051,59.9133599999837,41,42
232,ST HANSHAUGEN,422,10.7405420000046,59.9237029999754,38,22
233,ST HANSHAUGEN PARK NORD,470,10.7435338165643,59.9297870743363,15,15
234,ST HANSHAUGEN PARK SØR,432,10.7399089999981,59.9248209999916,38,12
235,ST HANSHAUGEN PARK VEST,391,10.7384633999943,59.9268706000307,38,20
236,ST OLAVS GATE,537,10.7386086025261,59.9179753075575,42,20
237,STAVANGERGATA,582,10.7507150356227,59.9411336514452,7,30
238,STENSGATA,382,10.7328390000022,59.9296034263734,1,9
239,STENSPARKEN,462,10.7309810000006,59.9271400000291,13,15
240,STJERNEPLASSEN,2330,10.7499587636505,59.9132331660657,11,15
241,STOCKFLETHS GATE,606,10.7521029000022,59.9339754000089,7,18
242,STORGATA,419,10.751824000002,59.9141252000087,11,22
243,STORO STORSENTER,397,10.7738268352529,59.9467053818685,16,42
244,STORTINGSTUNELLEN,1101,10.7373652775606,59.9106530180638,41,24
245,STUDENTERLUNDEN,387,10.7354530000011,59.9145859999786,41,15
246,STUDENTPARLAMENTET,469,10.7333569999972,59.9208519999947,14,30
247,SUHMS GATE,451,10.7261949999975,59.9294190000189,18,21
248,SUKKERBITEN,464,10.7536973816846,59.9055018399351,3,31
249,SØNDRE GATE,385,10.7578670000045,59.9186320000344,5,21
250,SØRVEST FOR SLOTTSPARKEN,533,10.7253156999994,59.9152619999958,32,12
251,TANNLEGEHØYSKOLEN,416,10.741474999999,59.9323830000103,15,15
252,THE HUB,2328,10.7509101858084,59.9125223702309,11,20
253,THERESES GATE,550,10.7310354999987,59.9261461999962,13,9
254,THOMAS HEFTYES PLASS,519,10.7039043557615,59.9185630930714,25,24
255,THUNE,429,10.6858800000018,59.9220800000083,36,21
256,TIEDEMANNSPARKEN,2340,10.7935394579026,59.9202469704875,39,25
257,TJUVHOLMEN,479,10.7225089999933,59.9094670000408,32,30
258,TORDENSKIOLDS GATE,573,10.7351457379318,59.9117838346376,41,20
259,TORGGATA,489,10.7515950601667,59.9159953088876,11,29
260,TORSHOVDALEN ØST,621,10.7775734184073,59.9328404874616,27,27
261,TORSHOVPARKEN VEST,488,10.7691500000001,59.9350700000006,16,24
262,TRELASTGATA,552,10.7625913570869,59.9079889028862,6,18
263,TRONDHEIMSVEIEN,457,10.7717192000038,59.9230577000206,22,10
264,TÅSEN SENTER,554,10.7511649999975,59.9526589999845,7,21
265,TÅSENLØKKA,517,10.748284800003,59.9433938999917,7,22
266,TØYEN SKOLE,408,10.7739769999954,59.9149429999524,20,15
267,TØYENBEKKEN,523,10.7617736000012,59.9115944999807,6,29
268,TØYENPARKEN,377,10.7775665000007,59.9156669999943,31,29
269,UELANDS GATE,399,10.7489861999952,59.9295449999832,2,36
270,ULLEVÅL SYKEHUS,502,10.7364515999957,59.9360307000418,1,34
271,ULLEVÅLSALLÉEN,466,10.7304799999988,59.9379130000015,17,15
272,ULLEVÅLSVEIEN,518,10.7395045000011,59.9246851999848,38,18
273,ULVEN TORG,2309,10.8116590644876,59.9249118237803,26,30
274,UNIVERSITETSGATA,2337,10.7378349902774,59.9159154337844,42,15
275,URANIENBORGPARKEN,417,10.720896000004,59.9224849999898,23,15
276,URANIENBORGVEIEN,535,10.7266340000025,59.9200420999598,13,27
